                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      1,                 3.3456,                 3.4964,                  2.698,                0.01071,                0.09313,                0.00586,                0.00228,                 3.0452,                  3.353,                 2.1875,                0.00034,                0.00034,                0.00034,             1.7211e+09,                     17
                      2,                 3.0128,                 2.8672,                 2.2347,                0.01186,                0.10306,                0.00662,                0.00248,                 3.0883,                   3.33,                  2.099,             0.00068614,             0.00068614,             0.00068614,             1.7211e+09,                     21
                      3,                 2.6543,                 2.2878,                 1.9271,                0.01395,                0.12127,                0.00793,                0.00287,                 3.1081,                 3.6835,                 2.1217,               0.001018,               0.001018,               0.001018,             1.7211e+09,                     26
                      4,                   2.38,                 1.8803,                 1.7112,                0.03124,                0.27152,                0.02164,                 0.0072,                 3.0922,                 3.7179,                 2.1314,              0.0013357,              0.0013357,              0.0013357,             1.7211e+09,                     30
                      5,                 2.1758,                 1.7208,                 1.5744,                0.06155,                 0.4168,                0.09608,                0.03074,                 2.9294,                  3.903,                 2.2127,               0.001639,               0.001639,               0.001639,             1.7211e+09,                     33
                      6,                 2.1221,                 1.6295,                 1.5502,                0.63011,                0.56871,                0.55601,                0.21346,                 2.2784,                 1.8419,                 1.5854,               0.001802,               0.001802,               0.001802,             1.7211e+09,                     37
                      7,                 1.9753,                 1.4653,                  1.441,                0.51784,                0.47351,                0.40889,                0.16179,                 2.3173,                 1.9699,                 1.7282,              0.0017624,              0.0017624,              0.0017624,             1.7211e+09,                     41
                      8,                 1.9508,                 1.3631,                 1.4227,                0.66849,                0.60182,                0.63949,                 0.2817,                 1.9502,                 1.5156,                 1.4503,              0.0017228,              0.0017228,              0.0017228,             1.7211e+09,                     45
                      9,                 1.8685,                  1.328,                 1.3923,                0.72699,                0.71606,                0.73575,                0.35506,                 1.8653,                 1.3566,                 1.4108,              0.0016832,              0.0016832,              0.0016832,             1.7211e+09,                     48
                     10,                 1.8197,                 1.2609,                 1.3723,                0.70105,                0.70861,                0.74731,                0.35873,                 1.7967,                 1.3043,                 1.3925,              0.0016436,              0.0016436,              0.0016436,             1.7211e+09,                     52
                     11,                  1.839,                 1.2555,                 1.3837,                0.78574,                0.73315,                0.77569,                0.37159,                 1.9234,                 1.2477,                 1.4633,               0.001604,               0.001604,               0.001604,             1.7211e+09,                     56
                     12,                 1.8042,                 1.2282,                 1.3635,                0.72487,                0.70281,                0.74935,                0.33384,                 1.8717,                 1.2818,                 1.4436,              0.0015644,              0.0015644,              0.0015644,             1.7211e+09,                     59
                     13,                 1.8016,                 1.2032,                 1.3509,                0.78812,                0.72061,                0.80032,                0.41831,                 1.7899,                 1.1945,                 1.3722,              0.0015248,              0.0015248,              0.0015248,             1.7211e+09,                     63
                     14,                 1.7452,                 1.1466,                 1.2986,                0.81909,                  0.714,                0.81117,                0.42529,                 1.7216,                 1.2024,                 1.3609,              0.0014852,              0.0014852,              0.0014852,             1.7211e+09,                     67
                     15,                 1.7267,                 1.1673,                 1.3097,                0.70147,                0.59396,                0.66379,                0.34601,                 1.7594,                 1.3396,                 1.4222,              0.0014456,              0.0014456,              0.0014456,             1.7211e+09,                     70
                     16,                 1.6647,                 1.1111,                 1.2806,                0.78964,                0.74669,                0.81825,                 0.4282,                 1.7354,                 1.1225,                 1.3434,               0.001406,               0.001406,               0.001406,             1.7211e+09,                     74
                     17,                 1.7244,                 1.0775,                 1.2938,                0.82076,                0.78088,                0.84411,                0.41845,                 1.8439,                 1.1729,                 1.3778,              0.0013664,              0.0013664,              0.0013664,             1.7211e+09,                     77
                     18,                 1.7159,                 1.1021,                 1.2884,                 0.8108,                0.73013,                0.81474,                0.43783,                 1.6674,                 1.1262,                 1.3366,              0.0013268,              0.0013268,              0.0013268,             1.7211e+09,                     81
